id;ime;povprecna_ocena;datum_rojstva;kraj_rojstva
10039;John Fowles;3.94;19260331;Leigh-on-Sea in Essex, The United Kingdom
10074;Ellen Raskin;4.02;19280313;Milwaukee, Wisconsin, The United States
10365;Dave McKean;4.15;19631229;Maidenhead, The United Kingdom
1036736;Katherine Applegate;3.96;;Michigan, The United States
10517;David Weber;4.12;19521024; Cleveland, Ohio, The United States
1051835;Christopher Mahoney;3.74;;Pittsburgh, PA, The United States
106;Madeleine L'Engle;4.03;19181129;New York City, New York, The United States
1067608;Peter S. Beagle;4.07;;New York, The United States
1069006;C.S. Lewis;4.14;18981129;Belfast, Ireland
10746;Jim Butcher;4.26;;Independence, Missouri, The United States
10824;Ricardo Pochtar;4.25;;
108424;Patrick Rothfuss;4.48;;Madison, Wisconsin, The United States
10896;Eoin Colfer;3.93;19650514;Wexford, Ireland
1100089;Henry H. Neff;4.15;;
11078;T.A. Barron;4.05;;Harvard, Massachusetts, The United States
11466;Markus Zusak;4.34;19750623;Sydney, Australia
11654;Meg Cabot;3.8;;Bloomington, Indiana, The United States
11761;Diane Duane;3.96;;New York, The United States
117775;William H. Armstrong;3.96;19110914;The United States
1177779;Michelle Harrison;4.14;;Essex, The United Kingdom
11906;Elizabeth Ann Scarborough;3.77;;Kansas City, Missouri, The United States
121585;Katherine Hannigan;3.9;;
1221698;Neil Gaiman;4.13;;
12521;William Goldman;4.24;19310812;Highland Park, Illinois, The United States
125984;Obert Skye;3.91;;The United States
127314;Otfried Preußler;4.12;19231020;Reichenberg, Bohemia, Czech Republic
131683;Edward Eager;4.0;19110620;Toledo, Ohio, The United States
13677;Gail Carson Levine;3.92;19470917;New York, New York, The United States
13681;Peter David;4.01;19560923;Fort Meade, Maryland, The United States
1373880;Kristin Cashore;4.08;;The United States
13957;Scott Westerfeld;3.84;;Dallas, Texas, The United States
1407121;Martin Bois;4.11;;
14096139;Sébastien Lévesque;4.11;;
146;Quentin Blake;4.11;19321216;Sidcup, The United Kingdom
14759054;James Fahy;4.46;;The United Kingdom
150038;Cassandra Clare;4.27;;Teheran, Iran
153394;Suzanne Collins;4.26;19620811; Hartford, Connecticut, The United States
15590;Mary  Stewart;4.05;19160912;Sunderland, The United Kingdom
15619;Michael Ende;4.2;19291112;Garmisch-Partenkirchen, Bavaria, Germany
157663;Angie Sage;3.99;;Thames Valley, England, The United Kingdom
15872;Rick Riordan;4.32;;San Antonio, Texas, The United States
15873;Cornelia Funke;3.9;19581210;Dorsten, North Rhine-Westphalia, Germany
1630;Ray Bradbury;4.0;19200822;Waukegan, Illinois, The United States
1654;Terry Pratchett;4.14;19480428;Beaconsfield, Buckinghamshire, England, The United Kingdom
16628;Walter Farley;4.13;19150626;Syracuse, New York, The United States
17054;Kim Harrison;4.22;;Detroit, The United States
170658;L.A. Meyer;4.21;19420101;Johnstown, Pennsylvania, The United States
17070366;Karen Dowers;4.67;;Detroit, The United States
1730;Umberto Eco;3.94;19320105;Alessandria, Italy
17447292;Lourdes Porta Fuentes;3.94;;
1825;Harper Lee;4.22;19260428;Monroeville, Alabama, The United States
183593;James Barkley;3.97;;
1885084;Keith Baines;3.94;;London, The United Kingdom
1949;Katherine Paterson;3.94;19321031;Qing Jiang, China
1954;Natalie Babbitt;3.86;19320728;Dayton, Ohio, The United States
19733;James A. Owen;4.01;;
2041;Frances Hodgson Burnett;4.13;18491124;Cheetham Hill, Manchester, England, The United Kingdom
205;Robert A. Heinlein;3.93;19070707;Butler, MO, The United States
2172337;Stephanie Burgis;3.96;;Lansing, Michigan, The United States
221645;Lucia Graves;4.14;19430721;Devon, The United Kingdom
22414;Richard Peck;3.91;19340410;Decatur, IL, The United States
22542;Megan Whalen Turner;4.1;;
2261547;Rachel Hawkins;3.99;;
2347;Jeanne DuPrau;3.77;19440609;San Francisco, California, The United States
242473;Susan Hubbard;3.47;;Syracuse, New York, The United States
243395;Yoshihiro Togashi;4.36;19660427;Yamagata Prefecture, Japan
24514;Brian K. Vaughan;4.24;;Cleveland, Ohio, The United States
24818;Frank Beddor;3.89;;Minneapolis, Minnesota, The United States
24830;Paul Stewart;4.11;;The United Kingdom
2493;Lois Lowry;4.08;;Oahu, Hawaii, The United States
25;Patricia A. McKillip;3.99;19480229;Salem, Oregon, The United States
25052;Brandon Mull;4.23;;The United States
2526;Libba Bray;3.83;;Montgomery, Alabama, The United States
25355;Anthea Bell;3.96;19360101;The United Kingdom
25421;Tony DiTerlizzi;3.93;;Los Angeles, The United States
25422;Holly Black;3.89;;New Jersey, The United States
26;Anne McCaffrey;4.07;19260401;Cambridge, Massachusetts, The United States
