id_knjige;id_avtorja
6581334;1177779
13496;346732
3682;2526
3008;2041
3008;70772
39963;22414
13642;874602
33574273;106
13831;8596
13023;34933
13023;8164
13023;28120
23119672;8106692
25025324;3206949
25025324;3214201
30165203;1221698
790131;106
249747;10896
6304335;2895706
6304335;2895707
9464733;2526
41424;5339
105657;24830
105657;59749
7823800;5816
373009;8694
17281447;5821849
295649;170658
2839;1949
6310;4273
6310;146
20801439;7817816
256683;150038
7171637;150038
16178;361963
150739;36122
150739;268524
35884596;17070366
13335037;4039811
149338;5339
28541;26
119073;1730
119073;10824
24337;13677
375802;589
541750;67906
113436;8349
44652;25052
4381;1630
13453604;5130837
153784;8596
33897359;8440277
18777760;6580373
17841;1730
17841;6921
442819;33461
3236307;1373880
147843;85545
262430;153394
463064;8924
6304133;2735638
18079804;7314532
225038;131683
225038;385574
34908;19733
5287473;2261547
28876;8730
6294;4260
28194;15873
28194;25355
28173857;14759054
6689;4273
6689;146
6609744;2172337
803034;38982
803034;38981
472626;127314
25494343;150038
672875;53519
672875;1885084
672875;3012988
214856;125984
6050678;13957
12900806;5280531
15547;9629
153781;8596
769483;157663
39988;4273
39988;146
9475;6206
25321022;7940084
47613;8347
97967;28544
14497;1221698
640029;33502
16101040;7581
35921;10517
5083281;17054
44659;8732
186103;13957
34262;6245
34262;6244
34262;337207
8113512;3509782
31363565;3227102
9349915;4366471
9349915;4474929
9349915;32168
7996;5329
518848;8347
15704307;24514
15704307;304633
58889;8596
82434;47104
279673;1036736
7741856;3378915
15779;6569
15779;679787
18049017;25052
116563;11761
30968572;5381542
598117;117775
598117;183593
12558285;5186274
7877549;800019
16793;1221698
47212;10746
136782;32590
18333130;6542656
51106;4106
90475;11654
339026;3155347
17402605;27100
334123;33467
13152;3780
78411;36746
78411;44524
6319;4273
6319;146
272895;16628
272895;2861813
95693;5350
17199504;5830526
24780;8924
19063;11466
423245;2644993
307791;2347
82192;15590
10576365;2973783
1400424;3624
463124;11906
7413317;1407121
7413317;14096139
7413317;3094336
25224458;7477505
18635086;903992
228665;6252
27003;4432
176327;65335
176327;65334
6760761;3040642
34;656983
444304;25422
444304;25421
6806629;3056388
99714;57461
99714;44524
81069;25
9166877;4308706
3636;2493
119322;3618
179064;49177
2213661;1221698
2213661;10365
51061;28699
12969560;418792
12969560;4411007
386162;4
5907;656983
603515;1100089
2767052;153394
5985124;1051835
29127;1067608
28187;15872
100915;1069006
420180;50786
44170;24818
7736182;15872
7736182;3343082
9783478;11078
81026;27500
16286;10039
2921082;15872
6186357;348878
833710;74046
402045;4841825
83369;47672
83369;428566
186074;108424
27712;15619
27712;38449
27712;262689
15783514;1221698
39681417;865752
21787;12521
9588207;2922723
7171856;205
264158;4624490
264158;290375
7090447;15872
60400;34049
232022;82540
1232;815
1232;221645
822200;242473
17312201;15872
316845;426944
448873;22542
7235533;38550
34494;1654
902;10074
236093;3242
236093;5804248
20821111;4342215
13138635;5360335
13138635;4615776
104089;60177
7514925;94868
2678758;13681
2657;1825
11297;3354
11297;17447292
10445208;445303
9462672;121585
84981;1954
24770;13957
11594257;4637369
359090;366097
359090;7093650
25170594;4512224
76620;7717
10365;6810
13836;8596
432020;243395
