id_knjige;id_serije;zaporedna_stevilka_serije
29502079;100690;2
23279496;100690;3
21544368;100787;2
22529375;100787;3
22514483;100787;4
22728735;100787;5
23274036;100787;6
24922888;100787;7
28149935;100787;8
18172465;100839;2
22836576;101106;2
6553209;101129;2
16219730;101129;3
20102947;101129;4
17679373;101205;2
18197222;101205;3
17786254;101624;2
17834176;101624;3
20814989;102109;2
20814993;102109;3
17825280;102179;2
27779765;102899;3
38316021;102899;4
17832472;102917;2
48549;103254;2
536535;103254;3
48426;103254;4
20454076;103629;2
23264825;103629;3
30140756;103629;4
13612962;104048;2
13612968;104048;4
13612970;104048;5
23846013;104843;2
28588345;104843;3
23110049;106494;2
36232164;106494;3
16005263;107522;2
17571273;108525;2
17571274;108525;3
17571275;108525;4
17571277;108525;5
16074851;108717;2
18764360;108717;3
17571248;108717;4
18243558;108724;2
26177575;108724;3
20428020;109016;2
18038349;110269;2
18602073;110269;3
20742953;110269;4
23275243;110269;5
28494338;110269;6
31819013;110269;7
7631105;110451;2
7864437;110451;3
23503711;111751;2
23513566;111751;3
18165051;111936;2
26228034;112296;2
31817749;112296;3
33384139;113177;2
33384153;113177;3
33384164;113177;4
33384170;113177;5
18743254;114130;2
22919685;114130;3
24564311;114485;2
17901125;114498;2
28260402;114498;3
24526764;114498;4
24526778;114498;5
24526790;114498;6
24526797;114498;7
18641729;114939;2
22788254;114939;3
31688500;114939;4
18710631;115066;2
22807866;115066;3
25885809;115066;4
28084628;115066;5
30724372;115066;6
33163320;115066;7
13650355;115672;2
17034859;115672;3
17657600;115672;4
18490721;116071;2
34316315;116497;2
34427940;116497;3
9683254;116971;2
9684805;116971;3
9683249;116971;4
9683252;116971;5
9683256;116971;7
9683253;116971;8
9683251;116971;10
18904643;116971;12
29226553;117100;5
29227774;117100;6
35397164;118343;2
25525765;118343;3
27395877;118343;4
3248385;118424;1
18943645;118424;2
19541279;118424;3
21473296;118424;4
19549920;118424;5
23259278;118681;2
23110100;118681;3
31824523;118681;4
22147221;119013;2
2208767;119568;2
13260521;119568;3
22206715;119623;2
25489865;119623;3
20523187;120506;2
23010961;120506;3
25270361;120506;4
28260101;120506;5
32715491;120506;6
34512471;120506;7
9961796;121034;2
9627755;121034;3
20813178;121952;2
24359115;121952;3
24798172;121952;4
26174272;121952;5
32650276;121952;6
19494877;122274;2
18752959;122618;2
18752963;122618;3
21869397;123037;2
27234100;123402;2
23460382;123785;2
29779890;123785;3
22090082;125407;2
23156034;126089;2
24316301;126089;3
26247781;126089;4
34138220;126089;5
21894440;126117;2
23248440;126117;3
25203880;126117;4
32854837;126117;5
2157243;127839;2
4893390;127839;3
40103178;127839;4
8113344;127839;5
13537640;127839;7
16123975;127839;8
18131799;127839;9
33617257;127839;10
37541828;127839;11
22128945;128629;2
22460377;128629;3
22460378;128629;4
23534301;128629;5
25160033;128629;6
25906360;128629;7
28105547;128629;8
30269132;128629;9
31186178;128629;10
33814737;128629;11
35186674;128629;12
36302823;128629;13
36665060;128629;14
40039827;128629;15
22428828;129925;1
23380998;129925;2
23380999;129925;3
23381005;129925;5
23381006;129925;6
23381007;129925;7
23381009;129925;8
23381012;129925;9
23381014;129925;10
20592352;130601;2
25689056;130699;2
31687423;130699;3
34702209;130699;4
23477479;131003;2
31763929;131003;3
17310157;133076;2
18748244;133797;2
22498832;133797;3
23168798;134444;2
26114250;134444;3
21533892;135343;2
24967911;136051;2
24661486;136051;3
25856470;136051;4
30375287;136051;5
23174274;136452;2
30226723;136452;3
27188596;136452;4
25590568;136765;2
31579911;136765;3
25042034;136960;2
33385088;136960;3
1264562;137007;2
767921;137007;3
767920;137007;4
767918;137007;5
767917;137007;6
23116775;137271;2
31185229;137271;3
36366505;137271;4
36898447;137271;5
23264425;137479;2
29767330;137479;3
24975595;137748;2
2454990;138405;2
2920825;138405;3
3430737;138405;4
3430907;138405;5
5071490;138405;6
6236660;138405;7
6334780;138405;8
6460099;138405;9
6613576;138405;10
6994424;138405;11
7970843;138405;12
8153169;138405;13
18691077;138405;40
18811404;138405;41
20697562;138405;43
21855315;138405;45
22245348;138405;46
22318582;138405;47
22748066;138405;48
25273121;138405;50
28364039;138405;56
29093102;138405;57
23880753;139151;2
28240129;139151;3
22718679;139232;2
21853633;139800;2
25219388;140343;2
33897336;140549;2
33897308;140549;3
33832888;140549;4
28053156;143262;2
25171645;143265;2
26847484;143265;3
23390914;143431;2
27399166;143431;3
26879148;145276;2
24817626;146340;2
17131869;146415;2
19358975;146415;3
23093367;146415;4
25451555;146415;5
28862528;146415;6
29237211;146415;7
34963526;146415;8
29237221;146415;9
25821433;146458;2
31208950;146458;3
22608846;147192;2
29090605;147192;3
30117284;148624;1
29179120;149999;2
24810191;153031;3
24810329;153031;4
24810403;153031;5
28650500;153790;2
32446959;153790;3
26208875;154618;2
23448889;155026;2
25464248;155026;3
26047438;155275;2
26760091;155275;3
29483403;155275;4
29966062;155275;5
34001654;156786;2
25155205;156885;2
25155215;156885;3
25155225;156885;4
25858836;156972;2
31323449;156972;3
27207602;157484;2
13279076;157484;3
25792974;158309;2
32055198;158970;2
13633702;160684;2
15984035;160684;3
17452258;160684;4
18275074;160684;5
20722062;160684;6
22575447;160684;7
38217114;160870;2
38217124;160870;3
38217141;160870;4
38217162;160870;5
38907962;160870;6
26118981;161248;2
26404752;161248;3
26146811;161666;2
30145666;162088;2
28006096;162088;3
28006109;162088;4
28006110;162088;5
23168984;162419;2
26250147;162419;3
