Pojem;skupina
Headmaster;Humans
School;Place
Academy;Place
London;Place
Student;Humans
Castle;Place
Boarding school;Place
Beast;Creatures
Goblin;Creatures
Centaur;Creatures
Giant;Creatures
Phoenix;Creatures
Witch;Creatures
Wizard;Creatures
Warlock;Creatures
Dragon;Creatures
Boggart;Creatures
Vampire;Creatures
Monster;Creatures
Elf;Creatures
Dwarf;Creatures
Demigod;Creatures
Alien;Creatures
Werewolf;Creatures
Unicorn;Creatures
Rat;Creatures
Owl;Creatures
Sphinx;Creatures
Troll;Creatures
Hobbit;Creatures
Fairy;Creatures
Ghost;Creatures
Faries;Creatures
Human;Creatures
Angel;Creatures
Demon;Creatures
God;Creatures
Mystical creatures;Creatures
Prince;Humans
Princess;Humans
King;Humans
Queen;Humans
Prisoner;Humans
Orphan;Humans
Muggle;Humans
Dark Lord;Humans
Apprentice;Humans
Friend;Humans
Enemy;Humans
Pirate;Humans
Enemies;Humans
Father;Humans
Mother;Humans
Parent;Humans
Child;Humans
Teen;Humans
Chosen one;Humans
Magic;Magic
Witchcraft;Magic
Wizardry;Magic
Charms;Magic
Transfiguration;Magic
Curse;Magic
Jinx;Magic
Divination;Magic
Dark arts;Magic
Patronus;Magic
Invisibility;Magic
Immortal;Magic
Alchemy;Magic
Animagus;Magic
Spell;Magic
Sorcery;Magic
Ability to fly;Magic
Powers;Magic
Time travel;Magic
Magician;Magic
Miracles;Magic
Transform;Magic
Enchantment;Magic
Force;Magic
Friendship;Values
Power;Values
Bravery;Values
Courage;Values
Loyalty;Values
Honesty;Values
Intelligence;Values
Dark;Values
Dark side;Values
Wisdom ;Values
Evil;Values
Love;Values
Elitism;Values
Pure Blood;Values
Choice;Values
Imagination;Values
eternal life;Values
Family;Values
Goblet;Object
Potion;Object
Wand;Object
Flying broom;Object
Train;Object
Socks;Object
Mirror;Object
Hat;Object
Letter;Object
Sword;Object
Chess;Object
Scar;Object
Pig tail;Object
Chocolate;Object
Parchment;Object
Maze;Object
Voldemort;Names
Hermione Granger;Names
Harry Potter;Names
Ron Weasley;Names
Nicholas Flamel;Names
Marauders;Humans
Duel;Magic
Invisible;Magic
Apocalypse;Event
Journey;Event
Invasion ;Event
Fighting;Event
Voyage;Event
Adventure;Event
Trouble;Event
Test;Event
Dream;Event
Battle;Event
Nightmare;Event
Mankind;Humans
Secret;Spiritual
Legend;Spiritual
Myth;Spiritual
Destiny;Spiritual
Fate;Spiritual
Mysterious;Spiritual
Consequences;Spiritual
Danger ;Mission
Dangerous;Mission
Future;Time
Revenge;Mission
Hate;Mission
Tom Riddle;Names
Leacky cauldron;Place
Orphanage;Place
Outsider;Humans
Mission;Mission
Quest;Mission
Calling;Mission
Save the world;Mission
Destroy the base;Mission
Survival;Mission
Survive;Mission
Travel;Mission
Save;Mission
War;Mission
World;Place
Find;Mission
Symbol;TODO
Eternal;TODO
Eternity;TODO
Life;TODO
Time;TODO
Lost;TODO
Learn;TODO
Dead;TODO
Death;TODO
Live;TODO
Help;TODO
Home;TODO
Fantasy;TODO
Different;TODO
Truth;TODO
Lies;TODO
Inherit;TODO
Special;TODO
Hope;TODO
Peculiar;TODO
Army;TODO
Ancient;TODO
Sacrifice;TODO
Escape;TODO
Rescue;TODO
