id;ISBN;naslov;dolzina;povprecna_ocena;stevilo_ocen;leto;opis;url_naslovnice
35506139;B071DRJRWK;10 Things To Change Your Life: Small Steps In The Right Direction;33;;1;;A short guide to finding more happiness. Ten things that I have found helped me be a more happy person.10 easy steps to find the happiness that you deserve.;https://images.gr-assets.com/books/1498273684l/35506139.jpg
1661390;9780375838811;100 Cupboards;289;3.77;13594;;Twelve-year-old Henry York is going to sleep one night when he hears a bump on the attic wall above his head. It's an unfamiliar house—Henry is staying with his aunt, uncle, and three cousins—so he tries to ignore it. But the next night he wakes up with bits of plaster in his hair. Two knobs have broken through the wall, and one of them is slowly turning... Henry scrapes the plaster off the wall and discovers doors—ninety-nine cupboards of all different sizes and shapes. Through one he can hear the sound of falling rain. Through another he sees a glowing room—with a man strolling back and forth! Henry and his cousin Henrietta soon understand that these are not just cupboards. They are, in fact, portals to other worlds. 100 Cupboards is the first book of a new fantasy adventure, written in the best world-hopping tradition and reinvented in N.D Wilson's own inimitable style.;https://images.gr-assets.com/books/1440607827l/1661390.jpg
6581334;9780316088770;13 Treasures;368;4.03;7787;2009;Tanya is no ordinary girl. She can see fairies. But not the fairies we imagine. Evil fairies who cast spells on her, rousing her from her sleep and propelling her out of bed. At wit's end with her daughter's inexplicable behavior, Tanya's mother sends her away to live with her grandmother at Elvesden Manor, a secluded countryside mansion on the outskirts of a peculiar Essex town. There is plenty to explore, as long as Tanya stays away from Hangman's Wood- a vast stretch of forest, full of catacombs and notorious for people losing their lives. Fifty years ago a girl vanished in the woods, a girl Tanya's grandmother will not speak of. As Tanya learns more about this girl, she finds herself dangerously close to vanishing into the fairy realm forever. Debut author Michelle Harrison weaves an intricate mystery into a beautiful and haunting fantasy that captures a rich world of fairy lore where only the color red can offer protection.;https://images.gr-assets.com/books/1355867317l/7991201.jpg
35053682;B01NCRFR6J;16 Myths;122;;10;;The tale of the 16 myths recounts the playful, serene, romantic and dangerous adventures of sixteen forgotten youngsters who once lived in the blissful mountains of Donoma during the 1600’s. Headed by Kimiko, Wambua, Wekesa, Rhys and Misae... find out how they faced the ultimate disturbance in their village. Will these youngsters choose to save themselves or fight for their home? More importantly the question remains... how did these sixteen lives turned into myths.;https://images.gr-assets.com/books/1493765807l/35053682.jpg
5470;9780451524935;1984;328;4.15;2291335;;Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmare vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life--the ubiquity of television, the distortion of the language--and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written.;https://images.gr-assets.com/books/1348990566l/5470.jpg
333939;9781595140456;A Chalice of Wind;256;3.89;2467;;Separated since birth, 17-year-old twins Thais and Clio unexpectedly meet in New Orleans where they seem to be pursued by a coven of witches who want to harness the twins' magical powers for its own ends.;https://images.gr-assets.com/books/1388606140l/333939.jpg
29917362;B00KB3SO90;A Chance Beginning: Book One of the Shadow's Fire Trilogy;347;3.87;47;;"Erik Eleodum is a simple man. He doesn’t want to be a hero. He doesn’t need fame or fortune. He is content farming his family’s homestead in northern Háthgolthane and raising a simple family, like his father, for the rest of his life. In fact, adventure is the last thing on his mind. Befel, Erik’s brother, and Bryon, his cousin, can’t think of anything worse than farming for the rest of their lives. They want to be heroes. They want fame and fortune. They want to leave their families and go east, to the country of Golgolithul, where they are sure to find easy wealth and great adventure. But when these three young men leave their farmstead, they quickly discover the world is not so simple, not so easy. Most fortune is laden with treachery, fame must be earned with blood, and adventures are rarely grand. Ideas of grandeur are crushed and the road east is hard. To get there, these men must ultimately sell their swords and become friends with thieves, dwarves, soldiers, and mercenaries well past their prime. They battle a band of ruthless slavers, slip past assassins, and experience the deadly consequences of black magic. Will Erik ever be able to return to the simple life? Will he unwittingly become famous, become rich, become a hero? Or, will he even survive? Often the deeds of those deemed smaller, either in stature or status, go uncounted by chroniclers of history. Yet, it is these deeds that repeatedly change the course of history. For every hero whose feats minstrels sing, there were fifty men following his stead, giving blood and sweat just as he did; and because they were not the first to return from a long voyage away, or perhaps they did not return at all, their glories are never sung. This is a story about those men who would only be known in the local legends, who would have been forgotten by time save for a small bit of chance. Chance, Fate, Destiny, Dumb Luck; all these and more, and then maybe none of these things, are the reasons a young man can go from a farmer’s son, a boy of lowly birth born with dirt on his face, to a great warrior, a kingly knight, a dragon slayer. Three young farmers, tired of plowing endless fields from sunrise to sunset, gave up all they knew to pursue fame, pursue riches. Their crying mothers at their backs and the unknown ahead of them, they worked in pigsties, slept in the alleys of outskirt cities, traveled with strangers and shed blood unwillingly. They trusted men they should not have trusted, and did not trust those they should have. These young men who left their way of life for fame and glory would soon learn, as most young men full of grand ideas and just ideals do, the world is not what they thought it to be.";https://images.gr-assets.com/books/1400268693l/22111573.jpg
5326;9781539910961;A Christmas Carol;;4.03;488509;;A Christmas Carol is a novella written by Charles Dickens. It was first published in London by Chapman & Hall in 1843. The story tells of a miser by the name Ebenezer Scrooge who was visited by the ghost of his former business partner, Jacob Marley. Marley tells Scrooge that he has one chance to avoid the same fate and that he will be visited by three other ghosts, one on each successive evening and that he must listen to them or be cursed to carry chains of his own that are much longer than Marley's chains. As Marley departs, Scrooge witnesses other restless ghosts who now wish they could help their fellow man, but are powerless to do so. Scrooge is then visited by the three ghosts Marley spoke of, each visit detailed in a separate stave, who accompany him on visits to various Christmas scenes.;https://images.gr-assets.com/books/1481310753l/33299792.jpg
382870;9780765342454;A College of Magics;480;3.71;5097;;Teenager Faris Nallaneen is the heir to the small northern dukedom of Galazon. Too young still to claim her title, her despotic Uncle Brinker has ruled in her place. Now he demands she be sent to Greenlaw College. For her benefit he insists. To keep me out of the way, more like it! But Greenlaw is not just any school-as Faris and her new best friend Jane discover. At Greenlaw students major in . . . magic. But it's not all fun and games. When Faris makes an enemy of classmate Menary of Aravill, life could get downright . . . deadly.;https://images.gr-assets.com/books/1389326269l/382870.jpg
13458013;9781741758610;A Confusion of Princes;337;3.75;5259;;I have died three times, and three times been reborn, though I am not yet twenty in the old earth years by which it is still the fashion to measure time. This is the story of my three deaths, and my life between. My name is Khemri. Taken from his parents as a child and equipped with biological and technological improvements, Khemri is now an enhanced human being, trained and prepared for the glory of becoming a Prince of the Empire. Not to mention the ultimate glory: should he die, and be deemed worthy, he will be reborn...Which is just as well, because no sooner has Prince Khemri graduated to full Princehood than he learns the terrible truth behind the Empire: there are ten million princes, and all of them want each other dead.;https://images.gr-assets.com/books/1336795819l/13458013.jpg
