ime_zanra;opis
19th Century;Novels or collections of stories set during the 19th century. The 19th century (January 1, 1801 – December 31, 1900) was the century marked by the collapse of the Spanish, First and Second French, Chinese, Holy Roman and Mughal empires. This paved the way for the growing influence of the British Empire, the Russian Empire, the United States, the German Empire, the Second French Colonial Empire and the Empire of Japan, with the British boasting unchallenged dominance after 1815.
Academic;See also: * education * high school * school stories
Action;The action genre is characterized by more emphasis on exciting action sequences than on character development or story-telling.
Adult;Fiction intended for adults.
Adventure;Adventure fiction is a genre of fiction in which an adventure, an exciting undertaking involving risk and physical danger, forms the main storyline. Adventure novels and short stories were popular subjects for American pulp magazines, which dominated American popular fiction between the Progressive Era and the 1950s. Adventure fiction often overlaps with other genres, notably war novels, crime novels, sea stories, Robinsonades, spy stories (as in the works of John Buchan, Eric Ambler and Ian Fleming), science fiction, fantasy, (Robert E. Howard and J.R.R. Tolkien both combined the secondary world story with the adventure novel)[6] and Westerns. Not all books within these genres are adventures. Adventure fiction takes the setting and premise of these other genres, but the fast-paced plot of an adventure focuses on the actions of the hero within the setting. See also pulp adventure .
Aliens;Aliens are extraterrestrial life that does not originate from Earth. The sentient beings can range from simple bacteria-life organisms to complex species and individuals. Aliens are used in a variety of genres, most notably Science-Fiction .
Alternate History;"Alternate history is a subgenre of speculative fiction (or science fiction) and historical fiction that is set in a world in which history has diverged from the actual history of the world. Alternate history literature asks the question, ""What if history had developed differently?"" Most works in this genre are based on real historical events, yet feature social, geopolitical, or industrial circumstances that developed differently than our own."
Angels;"Angels are messengers of God in the Hebrew and Christian Bibles. The term ""angel"" has also been expanded to various notions of spiritual beings found in many other religious traditions. Other roles of angels include protecting and guiding human beings, and carrying out God's tasks. Angels are often depicted with wings and halos. They are kind and loving beings who often comfort and heal human beings."
Animals;Animals are multicellular, eukaryotic organisms of the kingdom Animalia (also called Metazoa). All animals are motile, meaning they can move spontaneously and independently, at some point in their lives. Their body plan eventually becomes fixed as they develop, although some undergo a process of metamorphosis later on in their lives. All animals are heterotrophs: they must ingest other organisms or their products for sustenance.
Art;Books that showcase particular types of art.
Arthurian;Arthurian subgenre tales are set in the world of King Arthur's legendary Camelot. Merlin, Lancelot, Ygraine and friends are involved in fresh adventures. These novels have been popular for centuries, and one famous modern example is Thomas Pynchon's Gravity's Rainbow.
Arts Photography;Arthurian subgenre tales are set in the world of King Arthur's legendary Camelot. Merlin, Lancelot, Ygraine and friends are involved in fresh adventures. These novels have been popular for centuries, and one famous modern example is Thomas Pynchon's Gravity's Rainbow.
Asian Literature;Asian literature is the literature produced by writers in Asia. Or by Asian American writers.
Audiobook;An audiobook is a recording of a text being read. It is not necessarily an exact audio version of a book or magazine. Spoken audio has been available in schools and public libraries and to a lesser extent in music shops since the 1930s. Explore audiobooks from Audible on Goodreads !
