id_knjige;zanr
1661390;Fantasy
1661390;Fiction
1661390;Favorites
1661390;Childrens
1661390;Middle Grade
1661390;Adventure
6581334;Fantasy
6581334;Favorites
6581334;Childrens
6581334;Middle Grade
6581334;Young Adult
6581334;Paranormal
6581334;Fairies
6581334;Mystery
5470;Classics
5470;Favorites
5470;Fiction
5470;Science Fiction
5470;Dystopia
5470;Literature
5470;Novels
5470;Politics
5470;Academic
5470;School
5470;Fantasy
333939;Young Adult
333939;Fantasy
333939;Paranormal
333939;Witches
333939;Magic
333939;Favorites
5326;Classics
5326;Fiction
5326;Favorites
5326;Holiday
5326;Christmas
5326;Fantasy
382870;Fantasy
382870;Young Adult
382870;Fiction
382870;Magic
382870;Favorites
382870;Romance
13458013;Science Fiction
13458013;Young Adult
13458013;Fantasy
13458013;Fiction
13458013;Favorites
1743390;Fantasy
1743390;Young Adult
1743390;Fairy Tales
1743390;Historical
1743390;Historical Fiction
1743390;Favorites
1743390;Retellings
32281026;Fantasy
32281026;Young Adult
32281026;Magic
32281026;Suspense
32281026;Paranormal
32281026;Romance
32281026;Young Adult Fantasy
32281026;Science Fiction
32281026;Demons
32281026;Paranormal Romance
8667848;Fantasy
8667848;Favorites
8667848;Fiction
8667848;Paranormal
8667848;Romance
8667848;Vampires
8667848;Witches
6992584;Young Adult
6992584;Travel
6992584;Womens Fiction
6992584;Chick Lit
6992584;Contemporary
473869;Fantasy
473869;Urban Fantasy
473869;Young Adult
473869;Favorites
473869;Fiction
473869;Magic
473869;Paranormal
13496;Adult
13496;Fantasy
13496;High Fantasy
13496;Epic
13496;Audiobook
3682;Young Adult
3682;Fantasy
3682;Favorites
3682;Historical
3682;Historical Fiction
3682;Fiction
20521670;Fantasy
20521670;Young Adult
20521670;Lgbt
20521670;Fiction
20521670;Queer
20521670;Urban Fantasy
21079008;Fantasy
21079008;Young Adult
21079008;Favorites
21079008;Science Fiction
21079008;Dystopia
8090;Fantasy
8090;Short Stories
8090;Young Adult
8090;Fiction
8090;Fairy Tales
8090;Anthologies
8090;Favorites
3008;Classics
3008;Favorites
3008;Fiction
3008;Childrens
3008;Young Adult
8962;Fantasy
8962;Young Adult
8962;Horror
8962;Paranormal
8962;Vampires
8962;Favorites
8962;Fiction
39963;Historical
39963;Historical Fiction
39963;Young Adult
39963;Favorites
39963;Fiction
39963;Childrens
39963;Humor
33024300;Childrens
33024300;Middle Grade
33024300;Science Fiction
33024300;Humor
16299991;Fantasy
16299991;Young Adult
16299991;Magic
798518;Fantasy
798518;Young Adult
798518;Magic
798518;Favorites
798518;Fiction
22608054;Childrens
22608054;Middle Grade
22608054;Fantasy
1953;Classics
1953;Fiction
1953;Favorites
1953;Historical
1953;Historical Fiction
1953;Literature
6676264;Humor
6676264;Favorites
6676264;Adventure
6676264;Fiction
6676264;Childrens
6676264;Middle Grade
13642;Fiction
13642;Favorites
13642;Fantasy
13642;Young Adult
13642;Classics
8306745;Fantasy
8306745;Favorites
8306745;Adventure
8306745;Young Adult
8306745;Childrens
8306745;Middle Grade
33574273;Favorites
33574273;Fiction
33574273;Classics
33574273;Science Fiction
33574273;Childrens
33574273;Young Adult
768878;Fantasy
768878;Favorites
768878;Young Adult
768878;Fiction
768878;Horror
177928;Fantasy
177928;Science Fiction
177928;Fiction
177928;Science Fiction Fantasy
77160;Fantasy
77160;Fiction
77160;Favorites
77160;Historical
77160;Historical Fiction
77160;Cultural
77160;Japan
77160;Young Adult
8235178;Young Adult
8235178;Science Fiction
8235178;Favorites
8235178;Dystopia
8235178;Romance
10744752;Young Adult
10744752;Science Fiction
10744752;Lgbt
10744752;Fiction
10744752;Queer
28588350;Childrens
28588350;Middle Grade
28588350;Adventure
28588350;Action
28588350;Fiction
28588350;Historical
28588350;Historical Fiction
22500587;Fantasy
22500587;Young Adult
22500587;Adventure
22500587;Fiction
439035;Young Adult
439035;Fiction
439035;Realistic Fiction
1524;Classics
1524;Plays
1524;Drama
1524;Fiction
1524;Fantasy
1524;Mythology
1524;Theatre
545765;Science Fiction
545765;Steampunk
545765;Sequential Art
545765;Graphic Novels
545765;Comics
545765;Fantasy
545765;Fiction
545765;Favorites
23127048;Fantasy
23127048;Favorites
23127048;Young Adult
23127048;Romance
23127048;Magic
23127048;High Fantasy
1453205;Sports and Games
1453205;Sports
1453205;Fiction
1453205;Humor
1453205;Realistic Fiction
1453205;Childrens
1453205;Juvenile
1453205;Basketball
1453205;Funny
1453205;Young Adult
1453205;Middle Grade
1453205;Academic
1453205;School
428042;Science Fiction
428042;Steampunk
428042;Fantasy
428042;Young Adult
428042;Favorites
428042;Adventure
2049993;Favorites
2049993;Young Adult
2049993;Fantasy
2049993;Science Fiction
2049993;Steampunk
2049993;Historical
2049993;Historical Fiction
2049993;Adventure
2049993;Fiction
7507944;Fantasy
7507944;Young Adult
7507944;Fiction
7507944;Cultural
7507944;Africa
7507944;Childrens
7507944;Middle Grade
7507944;Favorites
7507944;Magic
13831;Fantasy
13831;Young Adult
13831;Favorites
13831;Fiction
13831;Magic
13831;Adventure
623976;Fantasy
623976;Young Adult
623976;Fiction
623976;Favorites
623976;Childrens
623976;Middle Grade
623976;Humor
623976;Adventure
13023;Classics
13023;Fantasy
13023;Favorites
13023;Fiction
13023;Childrens
23119672;Fantasy
23119672;Young Adult
23119672;Science Fiction
23119672;Steampunk
23119672;Fairy Tales
17786326;Fantasy
17786326;Young Adult
17786326;Romance
17786326;Paranormal
17786326;Business
17786326;Amazon
25605562;Mystery
25605562;Childrens
25605562;Middle Grade
25605562;Fiction
25605562;Young Adult
15757292;Fantasy
15757292;Young Adult
15757292;Magic
15704515;Fantasy
15704515;Childrens
15704515;Unfinished
15704515;Young Adult
15704515;Paranormal
15704515;Wizards
15704515;Ghosts
30165203;Fantasy
30165203;Favorites
30165203;Fiction
30165203;Urban Fantasy
30165203;Mythology
30165203;Science Fiction
30165203;Science Fiction Fantasy
227651;Young Adult
227651;Science Fiction
227651;Dystopia
227651;Favorites
227651;Fiction
790131;Young Adult
790131;Fiction
790131;Romance
790131;Favorites
790131;Historical
790131;Historical Fiction
790131;School Stories
790131;Boarding School
1175147;Historical
1175147;Historical Fiction
1175147;Romance
1175147;Favorites
1175147;Fiction
1175147;Historical Romance
1175147;Cultural
1175147;France
1175147;Adventure
15751159;Fantasy
15751159;Dragons
15751159;Favorites
15751159;Paranormal
15751159;Angels
7613;Classics
7613;Fiction
7613;Favorites
7613;Science Fiction
7613;Dystopia
7613;Fantasy
7613;Literature
6936382;Favorites
6936382;Young Adult
6936382;Romance
6936382;Contemporary
6936382;Womens Fiction
6936382;Chick Lit
9378297;Young Adult
9378297;Horror
9378297;Fantasy
9378297;Paranormal
9378297;Favorites
9378297;Ghosts
9378297;Romance
625662;Historical
625662;Historical Fiction
625662;English History
625662;Tudor Period
625662;Fiction
625662;Childrens
64401;Fantasy
64401;Humor
64401;Fiction
64401;Favorites
64401;Comedy
13986;Fantasy
13986;Favorites
13986;Fiction
13986;Young Adult
13986;Science Fiction Fantasy
249747;Fantasy
249747;Young Adult
249747;Favorites
249747;Fiction
249747;Childrens
36020119;Fantasy
36020119;Young Adult
36020119;Fiction
77197;Fantasy
77197;Epic Fantasy
77197;High Fantasy
77197;Science Fiction Fantasy
77197;Favorites
23017804;Fantasy
23017804;Childrens
23017804;Middle Grade
23017804;Science Fiction
23017804;Young Adult
248483;Romance
248483;Fiction
248483;Womens Fiction
248483;Chick Lit
248483;Favorites
248483;Contemporary
248483;Adult
248483;Adult Fiction
227331;Young Adult
227331;Fantasy
227331;Paranormal
227331;Mystery
227331;Ghosts
227331;Romance
18338277;Fantasy
18338277;Fiction
18338277;Science Fiction Fantasy
6304335;Young Adult
6304335;Fantasy
6304335;Favorites
6304335;Paranormal
6304335;Romance
9464733;Young Adult
9464733;Favorites
9464733;Humor
9464733;Contemporary
9464733;Fiction
9464733;Lgbt
41424;Fantasy
41424;Fairy Tales
41424;Romance
41424;Young Adult
41424;Retellings
41424;Favorites
27234091;Fantasy
27234091;Young Adult
27234091;Paranormal
27234091;Fairies
831842;Fantasy
831842;Favorites
831842;Fiction
831842;Childrens
831842;Young Adult
23168836;Fantasy
23168836;Fiction
23168836;Historical
23168836;Historical Fiction
23168836;Mystery
23168836;Magical Realism
23168836;Adventure
23168836;Adult
35711572;Fantasy
35711572;Adventure
35711572;Mystery
35711572;Young Adult
35711572;Magical Realism
35711572;Sports and Games
577027;Historical
577027;Historical Fiction
577027;Young Adult
577027;Fiction
577027;Paranormal
577027;Witches
577027;Favorites
105657;Fantasy
105657;Fiction
105657;Favorites
105657;Adventure
105657;Childrens
105657;Middle Grade
105657;Young Adult
780868;Fantasy
780868;Fiction
780868;Science Fiction Fantasy
780868;Young Adult
18661226;Young Adult
18661226;Fantasy
18661226;Fiction
7823800;Horror
7823800;Fantasy
7823800;Favorites
7823800;Young Adult
7823800;Paranormal
7823800;Vampires
373009;Fantasy
373009;Science Fiction
373009;Favorites
373009;Fiction
373009;Dystopia
11918;Fantasy
11918;Urban Fantasy
11918;Paranormal
11918;Favorites
11918;Shapeshifters
11918;Werewolves
11918;Romance
11918;Paranormal Romance
11918;Fiction
17281447;Fantasy
17281447;Paranormal
17281447;Young Adult
17281447;Young Adult Paranormal
809372;Historical
809372;Historical Fiction
809372;Young Adult
809372;Mystery
809372;Adventure
809372;Fiction
596963;Fantasy
596963;Young Adult
596963;Favorites
596963;Paranormal
596963;Fairies
596963;Fiction
596963;Magic
18849943;Fantasy
18849943;Young Adult
18849943;Childrens
18849943;Dragons
18849943;Middle Grade
30324;Young Adult
30324;Fantasy
30324;Favorites
30324;Paranormal
30324;Romance
30324;Shapeshifters
30324;Werewolves
30324;Urban Fantasy
1369831;Historical
1369831;Historical Fiction
1369831;Young Adult
1369831;Fantasy
1369831;Cultural
1369831;Russia
1369831;Fiction
1369831;Fairy Tales
1369831;Favorites
1369831;Retellings
295649;Historical
295649;Historical Fiction
295649;Young Adult
295649;Favorites
295649;Adventure
295649;Pirates
295649;Fiction
872333;Young Adult
872333;Paranormal
872333;Vampires
872333;Fantasy
872333;Favorites
810881;Fantasy
810881;Favorites
810881;Dragons
810881;Fiction
810881;Humor
27837381;Fantasy
27837381;Young Adult
27837381;Urban Fantasy
15796469;Fantasy
15796469;Dragons
15796469;Paranormal
15796469;Young Adult
15796469;Romance
15796469;Magic
15796469;Urban Fantasy
11715276;Young Adult
11715276;Fantasy
11715276;Paranormal
11715276;Witches
11715276;Favorites
11715276;Historical
11715276;Historical Fiction
11715276;Romance
22877148;Horror
22877148;Paranormal
22877148;Vampires
22877148;Romance
22877148;Gothic
22877148;Paranormal Romance
22877148;Fantasy
22877148;Dark Fantasy
22877148;Historical
18463070;Fantasy
18463070;Science Fiction
18463070;Favorites
18463070;Young Adult
18463070;Young Adult Fantasy
2839;Favorites
2839;Young Adult
2839;Fiction
2839;Childrens
2839;Fantasy
2839;Classics
1819625;Sequential Art
1819625;Manga
1819625;Manhwa
1819625;Romance
1819625;Favorites
1819625;Shojo
35144326;Fantasy
35144326;Young Adult
35144326;Romance
35144326;Favorites
35144326;Young Adult Fantasy
35144326;High Fantasy
35144326;New Adult
35144326;Paranormal
35144326;Magic
35144326;Witches
12925274;Fantasy
12925274;Magic
12925274;War
12925274;Fiction
18377623;Fantasy
18377623;Paranormal
18377623;Thriller
18377623;Romance
29737671;Fantasy
29737671;Business
29737671;Amazon
29737671;Paranormal
368468;Historical
368468;Historical Fiction
368468;Young Adult
368468;Fiction
368468;Favorites
368468;Childrens
27799031;Young Adult
27799031;Westerns
27799031;Family
27799031;Fantasy
21839933;Historical
21839933;Historical Fiction
21839933;Medieval
21839933;Young Adult
21839933;Fiction
1146185;Sequential Art
1146185;Graphic Novels
1146185;Comics
1146185;Fantasy
1146185;Science Fiction
1146185;Mythology
1146185;Arthurian
229145;Sequential Art
229145;Manga
229145;Fantasy
229145;Graphic Novels
229145;Favorites
229145;Comics
20527595;Fantasy
20527595;Science Fiction
20527595;Time Travel
20527595;Young Adult
20527595;Romance
32768522;Favorites
32768522;Young Adult
32768522;Fantasy
32768522;Romance
32768522;Lgbt
32768522;Fiction
444313;Fantasy
444313;Young Adult
444313;Fiction
444313;Favorites
444313;Childrens
22504710;Fantasy
22504710;Childrens
22504710;Middle Grade
22504710;Magic
22504710;Fiction
22504710;Humor
22504710;Young Adult
7180320;Fantasy
7180320;Childrens
7180320;Middle Grade
7180320;Adventure
7180320;Fiction
7180320;Young Adult
7180320;Historical
7180320;Historical Fiction
24137;Historical
24137;Historical Fiction
24137;Young Adult
24137;Fiction
24137;Favorites
24137;Childrens
24137;Middle Grade
454004;Science Fiction
454004;Fantasy
454004;Fiction
2828595;Fantasy
2828595;Young Adult
2828595;Favorites
2828595;Fiction
2828595;Romance
2828595;Magic
22605642;Fantasy
22605642;Paranormal
22605642;Fiction
22605642;Favorites
22605642;Did Not Finish
6310;Childrens
6310;Fantasy
6310;Fiction
6310;Classics
6310;Young Adult
227778;Fantasy
227778;Young Adult
227778;Fiction
227778;Childrens
227778;Favorites
244572;Fantasy
244572;Young Adult
244572;Favorites
244572;Fiction
244572;Childrens
244572;Magic
36669755;Childrens
36669755;Middle Grade
36669755;Fantasy
36669755;Magic
36669755;Young Adult
8931525;Fantasy
8931525;Young Adult
8931525;Favorites
8931525;Fiction
8931525;Magic
8299165;Fantasy
8299165;Young Adult
8299165;Favorites
8299165;Romance
8299165;Historical
8299165;Historical Fiction
8299165;Paranormal
8299165;Witches
8256;Holiday
8256;Christmas
8256;Childrens
8256;Historical
8256;Historical Fiction
8256;Picture Books
8256;Classics
36381037;Favorites
36381037;Young Adult
36381037;Fantasy
36381037;Science Fiction
36381037;Dystopia
36381037;Romance
36381037;Retellings
36381037;Fiction
36381037;Fairy Tales
36381037;Audiobook
20801439;Fantasy
20801439;Young Adult
20801439;Science Fiction
20801439;Aliens
20801439;Adventure
9640837;Favorites
9640837;Fantasy
9640837;Paranormal
9640837;Vampires
9640837;Horror
9640837;Fiction
9640837;Young Adult
256683;Favorites
256683;Young Adult
256683;Fantasy
256683;Paranormal
256683;Romance
256683;Urban Fantasy
20662728;Fantasy
20662728;Young Adult
20662728;Fiction
20662728;Magic
20662728;Favorites
7171637;Favorites
7171637;Fantasy
7171637;Young Adult
7171637;Paranormal
7171637;Science Fiction
7171637;Steampunk
7171637;Romance
7992862;Realistic Fiction
7992862;Young Adult
7992862;Childrens
7992862;Middle Grade
7992862;Favorites
7992862;Fiction
759;Short Stories
759;Fiction
759;Favorites
759;Magical Realism
759;Classics
759;Literature
17061;Fantasy
17061;Favorites
17061;Young Adult
17061;Fiction
17061;Horror
17061;Childrens
18490743;Fantasy
18490743;Paranormal
18490743;Childrens
16142253;Young Adult
16142253;Childrens
16142253;Middle Grade
23718561;Fantasy
23718561;Paranormal
23718561;Angels
23718561;Young Adult
23718561;Favorites
23718561;Urban Fantasy
458341;Sequential Art
458341;Graphic Novels
458341;Fantasy
458341;Horror
458341;Comics
458341;Young Adult
458341;Fiction
458341;Favorites
11886571;Fantasy
11886571;Young Adult
11886571;Mythology
11886571;Mystery
16160448;Horror
16160448;Fiction
16160448;Science Fiction
16160448;Thriller
16160448;Fantasy
25333912;Fantasy
25333912;Paranormal
25333912;Fiction
16178;Young Adult
16178;Favorites
16178;Sports and Games
16178;Sports
16178;Contemporary
16178;Romance
16178;Realistic Fiction
16178;Fiction
363037;Fantasy
363037;Magic
363037;Young Adult
363037;Childrens
363037;Fiction
363037;High Fantasy
363037;Science Fiction Fantasy
363037;Favorites
363037;Paranormal
363037;Wizards
47587;Fantasy
47587;Young Adult
